成语,常用度分数
待理不理,29.1
等价连城,29.1
蠹众木折,29.1
飞刍挽粟,29.1
富贵逼人,29.1
及时行乐,29.1
将遇良材,29.1
君命无二,29.1
扣人心弦,29.1
麟凤龟龙,29.1
清汤寡水,29.1
三茶六饭,29.1
喜眉笑眼,29.1
曳尾涂中,29.1
一无所长,29.1
以疏间亲,29.1
白璧无瑕,29.0
才高八斗,29.0
超然物外,29.0
大有径庭,29.0
犯而不校,29.0
风前月下,29.0
功高震主,29.0
拱手而降,29.0
固步自封,29.0
壶浆塞道,29.0
花言巧语,29.0
豁然开朗,29.0
击筑悲歌,29.0
居停主人,29.0
梨园弟子,29.0
临危不惧,29.0
面无人色,29.0
目光如炬,29.0
怒火中烧,29.0
披麻救火,29.0
伤心惨目,29.0
少小无猜,29.0
手疾眼快,29.0
维妙维肖,29.0
无所用心,29.0
纤尘不染,29.0
一气呵成,29.0
一丝不紊,29.0
背城一战,28.9
阿其所好,28.9
改过不吝,28.9
呼之欲出,28.9
家给民足,28.9
林下风气,28.9
满腹狐疑,28.9
琪花瑶草,28.9
忍尤含垢,28.9
如登春台,28.9
扫地以尽,28.9
扫眉才子,28.9
杀鸡取卵,28.9
十字街头,28.9
同归于尽,28.9
瓦解土崩,28.9
顽廉懦立,28.9
唯命是听,28.9
星罗棋布,28.9
修桥补路,28.9
言扬行举,28.9
以手加额,28.9
雨后春笋,28.9
百战不殆,28.8
不成体统,28.8
不速之客,28.8
促膝谈心,28.8
大辩若讷,28.8
飞阁流丹,28.8
焚香礼拜,28.8
黑更半夜,28.8
化整为零,28.8
九五之尊,28.8
累牍连篇,28.8
黎丘丈人,28.8
立人达人,28.8
两头白面,28.8
穷大失居,28.8
人急智生,28.8
善善恶恶,28.8
世风日下,28.8
踢天弄井,28.8
文过饰非,28.8
下里巴人,28.8
衣食父母,28.8
一本万利,28.8
踵决肘见,28.8
恣意妄为,28.8
安民告示,28.7
百了千当,28.7
变本加厉,28.7
博大精深,28.7
不敢掠美,28.7
不可磨灭,28.7
不擒二毛,28.7
尺泽之鲵,28.7
垂头丧气,28.7
定国安邦,28.7
洞察其奸,28.7
独辟蹊径,28.7
蠹国害民,28.7
阿谀逢迎,28.7
耳听八方,28.7
光怪陆离,28.7
过桥抽板,28.7
积薪厝火,28.7
金戈铁马,28.7
九垓八埏,28.7
口碑载道,28.7
老之将至,28.7
利欲熏心,28.7
轻嘴薄舌,28.7
十死一生,28.7
说长道短,28.7
物伤其类,28.7
一介不取,28.7
以攻为守,28.7
以退为进,28.7
有头有脸,28.7
鱼米之乡,28.7
指东画西,28.7
众口铄金,28.7
朱衣点头,28.7
钻牛角尖,28.7
搬石砸脚,28.6
半筹不纳,28.6
尘垢秕糠,28.6
吃穿用度,28.6
赤壁鏖兵,28.6
从中渔利,28.6
斗方名士,28.6
刚肠嫉恶,28.6
呼吸之间,28.6
见利思义,28.6
酒酸不售,28.6
救经引足,28.6
筐箧中物,28.6
卵覆鸟飞,28.6
络绎不绝,28.6
麋沸蚁动,28.6
木鸡养到,28.6
目不窥园,28.6
穷乡僻壤,28.6
如左右手,28.6
三坟五典,28.6
深仇大恨,28.6
突飞猛进,28.6
微不足道,28.6
唯邻是卜,28.6
无动于中,28.6
向隅而泣,28.6
一双两好,28.6
百孔千疮,28.5
暴虐无道,28.5
闭口不言,28.5
博古通今,28.5
不义之财,28.5
步调一致,28.5
长命百岁,28.5
长年累月,28.5
得步进步,28.5
风华正茂,28.5
皓齿蛾眉,28.5
厚此薄彼,28.5
狐死首丘,28.5
积沙成塔,28.5
金尽裘弊,28.5
罗织构陷,28.5
抹月秕风,28.5
目不转睛,28.5
平流缓进,28.5
器小易盈,28.5
三瓦两舍,28.5
深中肯綮,28.5
头重脚轻,28.5
五合六聚,28.5
先圣先师,28.5
一国三公,28.5
一孔之见,28.5
蒸沙成饭,28.5
直言不讳,28.5
左右两难,28.5
杯弓蛇影,28.4
不露锋芒,28.4
高深莫测,28.4
华冠丽服,28.4
黄口小儿,28.4
金城汤池,28.4
久病成医,28.4
怒不可遏,28.4
平步青云,28.4
社鼠城狐,28.4
太仓稊米,28.4
颜筋柳骨,28.4
雁过拔毛,28.4
野人献芹,28.4
依然故我,28.4
优哉游哉,28.4
云龙井蛙,28.4
云蒸霞蔚,28.4
早占勿药,28.4
陟岵陟屺,28.4
不知进退,28.3
除邪惩恶,28.3
耳听心受,28.3
好事之徒,28.3
鸿篇巨制,28.3
荒无人烟,28.3
黄钟大吕,28.3
磕头碰脑,28.3
沐雨栉风,28.3
弄假成真,28.3
泣下如雨,28.3
窃窃私语,28.3
琼楼玉宇,28.3
人人皆知,28.3
三对六面,28.3
生不逢辰,28.3
随时制宜,28.3
泰山梁木,28.3
调嘴弄舌,28.3
心劳日拙,28.3
燕巢幕上,28.3
衣不解带,28.3
阴差阳错,28.3
引吭高歌,28.3
灾梨祸枣,28.3
左宜右有,28.3
嗷嗷待哺,28.2
白衣公卿,28.2
并为一谈,28.2
仓卒主人,28.2
出人头地,28.2
殚精毕力,28.2
党同伐异,28.2
独木难支,28.2
分文不取,28.2
妇姑勃谿,28.2
钩元提要,28.2
苟且之心,28.2
归根结蒂,28.2
含垢藏疾,28.2
好逸恶劳,28.2
积习难改,28.2
节衣缩食,28.2
举重若轻,28.2
慨当以慷,28.2
扪心自问,28.2
难兄难弟,28.2
排难解纷,28.2
前挽后推,28.2
轻而易举,28.2
生气勃勃,28.2
谈笑自若,28.2
田月桑时,28.2
铁树开花,28.2
威望素著,28.2
喧宾夺主,28.2
忧国忘家,28.2
余音缭绕,28.2
朝华夕秀,28.2
才貌双全,28.1
寒花晚节,28.1
尖嘴薄舌,28.1
见笑大方,28.1
洁身自好,28.1
掠人之美,28.1
模棱两可,28.1
气喘吁吁,28.1
蛇蝎为心,28.1
食玉炊桂,28.1
体无完肤,28.1
为虎添翼,28.1
物尽其用,28.1
阋墙御侮,28.1
一见钟情,28.1
以往鉴来,28.1
隐恶扬善,28.1
月盈则食,28.1
众望所归,28.1
卓立鸡群,28.1
出手得卢,28.0
打牙配嘴,28.0
妒能害贤,28.0
高步云衢,28.0
寒木春华,28.0
和气致祥,28.0
敬老尊贤,28.0
民穷财匮,28.0
人欢马叫,28.0
深藏若虚,28.0
深谋远虑,28.0
降龙伏虎,28.0
言归正传,28.0
一筹莫展,28.0
疑神疑鬼,28.0
敝帚千金,27.9
驰名中外,27.9
东怒西怨,27.9
洞房花烛,27.9
孤军奋战,27.9
怪诞不经,27.9
国仇家恨,27.9
海底捞月,27.9
旱魃为虐,27.9
鹤鸣之士,27.9
华不再扬,27.9
敬老慈幼,27.9
军令如山,27.9
请自隗始,27.9
失惊打怪,27.9
十年寒窗,27.9
稳扎稳打,27.9
倚马七纸,27.9
正人君子,27.9
竹马之友,27.9
铸山煮海,27.9
百举百全,27.8
宝刀不老,27.8
笔下超生,27.8
不可思议,27.8
不能自拔,27.8
不栉进士,27.8
大处落墨,27.8
革命反正,27.8
公门桃李,27.8
纶巾羽扇,27.8
鬼迷心窍,27.8
虎踞龙盘,27.8
颊上三毛,27.8
交梨火枣,27.8
敬谢不敏,27.8
口尚乳臭,27.8
纶音佛语,27.8
磐石之固,27.8
弃暗投明,27.8
巧不可阶,27.8
肉袒牵羊,27.8
三年化碧,27.8
十全十美,27.8
事不宜迟,27.8
万世流芳,27.8
鲜衣美食,27.8
心怀叵测,27.8
抑扬顿挫,27.8
至圣至明,27.8
助我张目,27.8
谆谆告诫,27.8
自圆其说,27.8
百代过客,27.7
暴殄天物,27.7
备尝辛苦,27.7
愁多夜长,27.7
大事铺张,27.7
殚见洽闻,27.7
独具匠心,27.7
耳目股肱,27.7
方正不阿,27.7
飞檐走壁,27.7
高城深池,27.7
鼓舞人心,27.7
归根到底,27.7
鸿鹄之志,27.7
花下晒裈,27.7
精卫填海,27.7
举无遗策,27.7
掘室求鼠,27.7
空谷足音,27.7
口说无凭,27.7
聊胜一筹,27.7
六韬三略,27.7
切树倒根,27.7
取辖投井,27.7
舌敝耳聋,27.7
水来土掩,27.7
物腐虫生,27.7
心腹之交,27.7
心悦诚服,27.7
兴高采烈,27.7
有口皆碑,27.7
远见卓识,27.7
执两用中,27.7
蔼然仁者,27.6
冰肌雪肠,27.6
不进则退,27.6
不绝如缕,27.6
不堪其忧,27.6
不堪设想,27.6
插翅难飞,27.6
察己知人,27.6
得胜头回,27.6
得心应手,27.6
恶积祸盈,27.6
二姓之好,27.6
孤芳自赏,27.6
后继无人,27.6
目光炯炯,27.6
弃旧怜新,27.6
天各一方,27.6
吞刀吐火,27.6
违心之论,27.6
无以复加,27.6
五脏六腑,27.6
心照神交,27.6
怡情悦性,27.6
自食其言,27.6
罪恶滔天,27.6
粗衣淡饭,27.5
箪食壶酒,27.5
分崩离析,27.5
高歌猛进,27.5
高朋满座,27.5
故技重演,27.5
瓜田李下,27.5
寒来暑往,27.5
见利忘义,27.5
解人难得,27.5
径情直遂,27.5
狼心狗行,27.5
劳心苦思,27.5
良知良能,27.5
令人起敬,27.5
面壁功深,27.5
盘游无度,27.5
平起平坐,27.5
三浴三衅,27.5
收回成命,27.5
稳步前进,27.5
无可厚非,27.5
羊狠狼贪,27.5
一心一德,27.5
阴阳怪气,27.5
由浅入深,27.5
有口难分,27.5
远求骐骥,27.5
周而复始,27.5
铢两悉称,27.5
把持不定,27.4
蹈常袭故,27.4
耳鬓斯磨,27.4
浮踪浪迹,27.4
伏低做小,27.4
富贵骄人,27.4
蛊惑人心,27.4
毫发不爽,27.4
潢池弄兵,27.4
昏天黑地,27.4
没没无闻,27.4
男耕女织,27.4
能近取譬,27.4
被山带河,27.4
齐大非耦,27.4
神头鬼面,27.4
谈笑封侯,27.4
韬晦之计,27.4
万人空巷,27.4
为鬼为蜮,27.4
相知恨晚,27.4
行同狗彘,27.4
药笼中物,27.4
游目骋怀,27.4
在官言官,27.4
真赃实犯,27.4
兵不血刃,27.3
长舌之妇,27.3
穿云裂石,27.3
阿时趋俗,27.3
盖世英雄,27.3
干云蔽日,27.3
肝心若裂,27.3
魂不守舍,27.3
济困扶危,27.3
交浅言深,27.3
嗟悔无及,27.3
金精玉液,27.3
恪守不渝,27.3
狼眼鼠眉,27.3
流离失所,27.3
破门而出,27.3
铺张浪费,27.3
弃瑕录用,27.3
任重才轻,27.3
手足无措,27.3
寿比南山,27.3
束身自好,27.3
天愁地惨,27.3
投诸四裔,27.3
万家灯火,27.3
先见之明,27.3
晓行夜宿,27.3
血肉相连,27.3
牙签万轴,27.3
一口咬定,27.3
一字之师,27.3
引颈受戮,27.3
应对如流,27.3
震耳欲聋,27.3
安土重迁,27.2
不舍昼夜,27.2
打成一片,27.2
固执己见,27.2
光芒万丈,27.2
举手之劳,27.2
枯鱼衔索,27.2
厉行节约,27.2
齐心协力,27.2
屈艳班香,27.2
权宜之计,27.2
日以继夜,27.2
如应斯响,27.2
若无其事,27.2
沙里淘金,27.2
水土不服,27.2
蝎蝎螫螫,27.2
腥闻在上,27.2
虚骄恃气,27.2
因果报应,27.2
鱼传尺素,27.2
战无不胜,27.2
折节读书,27.2
煮粥焚须,27.2
自出心裁,27.2
百衣百随,27.1
插圈弄套,27.1
床头金尽,27.1
刺股读书,27.1
翠消红减,27.1
得过且过,27.1
读书得间,27.1
愤世嫉俗,27.1
浮想联翩,27.1
古貌古心,27.1
顾影自怜,27.1
克勤克俭,27.1
沥胆堕肝,27.1
落落难合,27.1
涅而不缁,27.1
求田问舍,27.1
天下一家,27.1
同心戮力,27.1
痛入骨髓,27.1
仙风道骨,27.1
言不及义,27.1
一朝之忿,27.1
瘗玉埋香,27.1
自顾不暇,27.1
班门弄斧,27.0
补天浴日,27.0
不情之请,27.0
长目飞耳,27.0
分香卖履,27.0
奋发蹈厉,27.0
毫不讳言,27.0
牢骚满腹,27.0
利傍倚刀,27.0
满载而归,27.0
南贩北贾,27.0
囊空如洗,27.0
攘来熙往,27.0
三令五申,27.0
生离死别,27.0
食古不化,27.0
手足胼胝,27.0
甜嘴蜜舌,27.0
无穷无尽,27.0
弦外之音,27.0
香象渡河,27.0
以卵投石,27.0
月白风清,27.0
月夕花朝,27.0
罪恶昭彰,27.0
春生秋杀,26.9
璀璨夺目,26.9
登坛拜将,26.9
雕阑玉砌,26.9
国富民安,26.9
黄道吉日,26.9
计无付之,26.9
艰苦奋斗,26.9
井蛙之见,26.9
恇怯不前,26.9
旷日弥久,26.9
满打满算,26.9
一生一世,26.9
自给自足,26.9
不分畛域,26.8
存亡继绝,26.8
发扬蹈厉,26.8
凤冠霞帔,26.8
凤毛济美,26.8
割臂盟公,26.8
回山倒海,26.8
鸡犬皆仙,26.8
亏心短行,26.8
狼狈不堪,26.8
利深祸速,26.8
流离琐尾,26.8
流水桃花,26.8
迫不及待,26.8
剖决如流,26.8
千里迢迢,26.8
穷凶极恶,26.8
认奴作郞,26.8
生关死劫,26.8
手不停挥,26.8
无怨无德,26.8
五脊六兽,26.8
物华天宝,26.8
纤介之祸,26.8
形影相吊,26.8
虚嘴掠舌,26.8
一索得男,26.8
一字褒贬,26.8
因陋守旧,26.8
元恶大憝,26.8
自贻伊戚,26.8
啜菽饮水,26.7
东兔西乌,26.7
分钗断带,26.7
佛眼相看,26.7
观衅伺隙,26.7
来去分明,26.7
灵丹妙药,26.7
摩肩击毂,26.7
南金东箭,26.7
批亢捣虚,26.7
品竹弹丝,26.7
身败名裂,26.7
声音笑貌,26.7
枉勘虚招,26.7
妄下雌黄,26.7
无可讳言,26.7
胸中无数,26.7
鸦雀无声,26.7
云合景从,26.7
獐头鼠目,26.7
锱铢必较,26.7
帮虎吃食,26.6
不耻下问,26.6
布衣之交,26.6
翠绕珠围,26.6
弹无虚发,26.6
当断不断,26.6
簟纹如水,26.6
独揽大权,26.6
风和日暖,26.6
逢君之恶,26.6
公诸同好,26.6
狗头军师,26.6
昏庸无道,26.6
虮虱相吊,26.6
间不容息,26.6
绝薪止火,26.6
玲珑剔透,26.6
屡见不鲜,26.6
否极泰来,26.6
若存若亡,26.6
身不由主,26.6
丝丝入扣,26.6
退如山移,26.6
万马齐喑,26.6
以身殉国,26.6
不同流俗,26.5
拆东补西,26.5
恶贯满盈,26.5
肺腑之言,26.5
风口浪尖,26.5
瓜剖豆分,26.5
惶恐不安,26.5
肩摩毂击,26.5
聊以自娱,26.5
鸾交凤友,26.5
莫测高深,26.5
年谷不登,26.5
神差鬼使,26.5
死皮赖脸,26.5
心中无数,26.5
一箭双雕,26.5
一抔黄土,26.5
有福同享,26.5
语出月胁,26.5
月露风云,26.5
左提右挈,26.5
鞍马劳顿,26.4
百读不厌,26.4
不古不今,26.4
称薪而爨,26.4
得其三昧,26.4
点睛之笔,26.4
动不失时,26.4
感恩戴德,26.4
苟全性命,26.4
汗流浃背,26.4
火眼金睛,26.4
饥鹰饿虎,26.4
俭故能广,26.4
赳赳武夫,26.4
聚少成多,26.4
临渴掘井,26.4
零敲碎打,26.4
乱臣贼子,26.4
墨汁未干,26.4
弄虚作假,26.4
贫病交迫,26.4
婆婆妈妈,26.4
窃据要津,26.4
日暮途穷,26.4
王侯将相,26.4
相形失色,26.4
犹解倒悬,26.4
与众不同,26.4
咫尺千里,26.4
志大才疏,26.4
百感交集,26.3
不哼不哈,26.3
不屈不挠,26.3
出山泉水,26.3
断鹤续凫,26.3
高门大户,26.3
各奔前程,26.3
各自为政,26.3
骨肉离散,26.3
广种薄收,26.3
国家栋梁,26.3
国破家亡,26.3
国色天香,26.3
后会有期,26.3
虎狼之势,26.3
叫苦连天,26.3
谨言慎行,26.3
六尺之孤,26.3
门墙桃李,26.3
其应若响,26.3
千恩万谢,26.3
敲金击石,26.3
无旧无新,26.3
物是人非,26.3
要言妙道,26.3
抑强扶弱,26.3
诱敌深入,26.3
终天之恨,26.3
子虚乌有,26.3
搬弄是非,26.2
表里受敌,26.2
鬓乱钗横,26.2
波谲云诡,26.2
博洽多闻,26.2
不羁之才,26.2
不失圭撮,26.2
灿若繁星,26.2
尺幅千里,26.2
大巧若拙,26.2
弹尽粮绝,26.2
独断独行,26.2
风烛残年,26.2
甘死如饴,26.2
积年累月,26.2
苦口婆心,26.2
六马仰秣,26.2
满目疮痍,26.2
乞儿马医,26.2
穷猿投林,26.2
山穷水尽,26.2
胜任愉快,26.2
所向披靡,26.2
寻章摘句,26.2
云鬟雾鬓,26.2
朝令夕改,26.2
至高无上,26.2
百念皆灰,26.1
背井离乡,26.1
车笠之盟,26.1
城下之盟,26.1
重峦叠嶂,26.1
独得之见,26.1
断井颓垣,26.1
含糊其词,26.1
金浆玉醴,26.1
金兰之契,26.1
进旅退旅,26.1
品头评足,26.1
如箭在弦,26.1
如梦方醒,26.1
上援下推,26.1
声振寰宇,26.1
往返徒劳,26.1
为丛驱雀,26.1
为虎作伥,26.1
闻风而动,26.1
以暴易暴,26.1
饮鸩止渴,26.1
雍荣闲雅,26.1
有进无退,26.1
朱轮华毂,26.1
八斗之才,26.0
别具一格,26.0
不得人心,26.0
不可动摇,26.0
不可理喻,26.0
长治久安,26.0
出谋画策,26.0
唇亡齿寒,26.0
寸阴是惜,26.0
灯红酒绿,26.0
苟安一隅,26.0
毫无逊色,26.0
见风是雨,26.0
敬业乐群,26.0
苦口逆耳,26.0
来情去意,26.0
镂金错彩,26.0
弥天大谎,26.0
鸣锣喝道,26.0
木人石心,26.0
飘瓦虚舟,26.0
千真万确,26.0
浅见寡闻,26.0
琼枝玉叶,26.0
日无暇晷,26.0
入圣超凡,26.0
声誉鹊起,26.0
四马攒蹄,26.0
土穰细流,26.0
一马当先,26.0
有脚阳春,26.0
钻天打洞,26.0
安常守故,25.9
闭目塞听,25.9
池鱼笼鸟,25.9
出神入化,25.9
炊金馔玉,25.9
蜂目豺声,25.9
负德辜恩,25.9
附耳低言,25.9
过而能改,25.9
狐裘羔袖,25.9
假途灭虢,25.9
简要不烦,25.9
免开尊口,25.9
妙趣横生,25.9
墨子泣丝,25.9
破竹之势,25.9
其貌不扬,25.9
千军万马,25.9
食宿相兼,25.9
薮中荆曲,25.9
无关大体,25.9
泱泱大风,25.9
玉砌雕阑,25.9
玉液琼浆,25.9
昂首天外,25.8
八面圆通,25.8
比屋可封,25.8
惩恶劝善,25.8
刀锯斧钺,25.8
恶语伤人,25.8
飞针走线,25.8
开柙出虎,25.8
神魂颠倒,25.8
滔天罪行,25.8
一饭千金,25.8
因祸为福,25.8
贼喊捉贼,25.8
不伦不类,25.7
寸步难行,25.7
对床夜雨,25.7
恩德如山,25.7
耳目昭彰,25.7
居功自傲,25.7
苦乐不均,25.7
流星赶月,25.7
你死我活,25.7
秋色平分,25.7
杀鸡吓猴,25.7
赏罚分明,25.7
顺水推舟,25.7
说一不二,25.7
桃弧棘矢,25.7
万无一失,25.7
无米之炊,25.7
摇身一变,25.7
移风易俗,25.7
有恃无恐,25.7
之乎者也,25.7
知己知彼,25.7
按图索骥,25.6
补阙灯檠,25.6
不二法门,25.6
趁热打铁,25.6
楚棺秦楼,25.6
大有人在,25.6
待字闺中,25.6
荡检逾闲,25.6
福禄双全,25.6
毫无二致,25.6
何足道哉,25.6
济弱扶倾,25.6
街巷阡陌,25.6
九死一生,25.6
狼烟四起,25.6
马到成功,25.6
面似靴皮,25.6
浓墨重彩,25.6
千钧重负,25.6
求亲靠友,25.6
三分鼎足,25.6
赏奇析疑,25.6
头出头没,25.6
文风不动,25.6
问羊知马,25.6
物换星移,25.6
习以为常,25.6
沿门托钵,25.6
应时对景,25.6
直内方外,25.6
褚小杯大,25.6
薄寒中人,25.5
苌弘化碧,25.5
词穷理极,25.5
代代相传,25.5
倒果为因,25.5
等而下之,25.5
罚不当罪,25.5
风清月朗,25.5
孤苦伶仃,25.5
官虎吏狼,25.5
和盘托出,25.5
后顾之忧,25.5
金枝玉叶,25.5
乱琼碎玉,25.5
冥思苦索,25.5
牛刀割鸡,25.5
穷巷陋室,25.5
裘马轻肥,25.5
人浮于事,25.5
如丘而止,25.5
入门问讳,25.5
深不可测,25.5
时移俗易,25.5
天朗气清,25.5
无功受禄,25.5
心醉魂迷,25.5
穴居野处,25.5
圆木警枕,25.5
馔玉炊金,25.5
霸陵醉尉,25.4
白发青衫,25.4
承天之祐,25.4
读书种子,25.4
婀娜多姿,25.4
感慨系之,25.4
辜恩背义,25.4
豁然贯通,25.4
精诚团结,25.4
能征惯战,25.4
色授魂与,25.4
慎身修永,25.4
输财助边,25.4
五零四散,25.4
小廉曲谨,25.4
雅俗共赏,25.4
莺俦燕侣,25.4
载酒问字,25.4
志坚行苦,25.4
暗室求物,25.3
沉吟章句,25.3
充闾之庆,25.3
寸土必争,25.3
反面文章,25.3
躬逢其盛,25.3
和而不同,25.3
极乐世界,25.3
举国若狂,25.3
离弦走板,25.3
目光如豆,25.3
男婚女嫁,25.3
三教九流,25.3
同美相妒,25.3
颜面扫地,25.3
衣单食薄,25.3
薏苡明珠,25.3
应有尽有,25.3
执柯作伐,25.3
中西合璧,25.3
竹头木屑,25.3
不易之典,25.2
蹈厉之志,25.2
动人心魄,25.2
腹诽心谤,25.2
烘托渲染,25.2
见鞍思马,25.2
举贤使能,25.2
流水朝宗,25.2
捏手捏脚,25.2
七情六欲,25.2
神气十足,25.2
为期不远,25.2
以莛叩钟,25.2
郑重其事,25.2
霸王别姬,25.1
博而不精,25.1
不可救药,25.1
赤子之心,25.1
大谬不然,25.1
带砺山河,25.1
独步一时,25.1
膏肓之疾,25.1
规矩准绳,25.1
囫囵半片,25.1
回肠九转,25.1
积微成著,25.1
江天一色,25.1
屦及剑及,25.1
人困马乏,25.1
师直为壮,25.1
寿终正寝,25.1
贪赃枉法,25.1
涕泗滂沱,25.1
为渊驱鱼,25.1
仙姿玉貌,25.1
衣被群生,25.1
至当不易,25.1
避害就利,25.0
待时而动,25.0
待时守分,25.0
恶叉白赖,25.0
宫车晏驾,25.0
花红柳绿,25.0
黄泉之下,25.0
家学渊源,25.0
居之不疑,25.0
料峭春寒,25.0
人亡政息,25.0
孺子可教,25.0
是古非今,25.0
显微阐幽,25.0
胸中鳞甲,25.0
知人之明,25.0
螽斯衍庆,25.0
坐怀不乱,25.0
赤县神州,24.9
阿谀取容,24.9
焚林而猎,24.9
付之丙丁,24.9
改天换地,24.9
怀宝迷邦,24.9
瘠人肥己,24.9
家破人亡,24.9
流光易逝,24.9
男盗女娼,24.9
旗帜鲜明,24.9
蜻蜓点水,24.9
桑间濮上,24.9
生生不已,24.9
守身如玉,24.9
丸泥封关,24.9
网开一面,24.9
摇唇鼓舌,24.9
一唱一和,24.9
一针一线,24.9
亿万斯年,24.9
映雪读书,24.9
与虎谋皮,24.9
折节下士,24.9
餐风露宿,24.8
春晖寸草,24.8
度外之人,24.8
反唇相稽,24.8
福至心灵,24.8
浑水摸鱼,24.8
金石丝竹,24.8
荆人涉澭,24.8
据为己有,24.8
君子固穷,24.8
刻画无盐,24.8
脉脉含情,24.8
捻神捻鬼,24.8
岂有此理,24.8
三推六问,24.8
天不假年,24.8
无关大局,24.8
无庸置疑,24.8
小恩小惠,24.8
小廉大法,24.8
养虺成蛇,24.8
一笑千金,24.8
安身立命,24.7
背信弃义,24.7
粗制滥造,24.7
大醇小疵,24.7
丹青不渝,24.7
丹书铁券,24.7
丢三落四,24.7
繁枝细节,24.7
果于自信,24.7
将夺固与,24.7
旷日持久,24.7
眉清目秀,24.7
民胞物与,24.7
千里之足,24.7
人心不古,24.7
说三道四,24.7
似懂非懂,24.7
随波逐流,24.7
血泪盈襟,24.7
压倒元白,24.7
月地云阶,24.7
造谣中伤,24.7
张牙舞爪,24.7
粥少僧多,24.7
撞头磕脑,24.7
倍日并行,24.6
变化多端,24.6
勃然变色,24.6
布衣韦带,24.6
晨兴夜寐,24.6
触目皆是,24.6
大开眼界,24.6
大庭广众,24.6
大智若愚,24.6
颠三倒四,24.6
恩有重报,24.6
法外施仁,24.6
各尽所能,24.6
观者如云,24.6
缓兵之计,24.6
匡时济世,24.6
巧言如簧,24.6
人言啧啧,24.6
泰然自若,24.6
天旋地转,24.6
推诚相见,24.6
五虚六耗,24.6
凶喘肤汗,24.6
一笑置之,24.6
衣租食税,24.6
异想天开,24.6
贼去关门,24.6
仗气使酒,24.6
半推半就,24.5
备尝艰苦,24.5
不及之法,24.5
粗通文墨,24.5
撮盐入火,24.5
岛瘦郊寒,24.5
富贵浮云,24.5
号寒啼饥,24.5
祸福相依,24.5
焦金烁石,24.5
刻画入微,24.5
拿班作势,24.5
拿三搬四,24.5
如堕烟海,24.5
生财有道,24.5
同气连枝,24.5
喜闻乐见,24.5
学而不厌,24.5
义正辞严,24.5
不关痛痒,24.4
重睹天日,24.4
鼎足而三,24.4
笃而论之,24.4
儿女成行,24.4
沸沸扬扬,24.4
纷红骇绿,24.4
风流儒雅,24.4
洪水横流,24.4
家徒四壁,24.4
捐弃前嫌,24.4
廓达大度,24.4
乐以忘忧,24.4
齐心合力,24.4
青山一发,24.4
一团和气,24.4
英雄入彀,24.4
有机可乘,24.4
争分夺秒,24.4
安魂定魄,24.3
败德辱行,24.3
楚囚对泣,24.3
得鱼忘筌,24.3
见景生情,24.3
慷慨解囊,24.3
老生常谈,24.3
伶牙俐齿,24.3
掠地攻城,24.3
论甘忌辛,24.3
人心惟危,24.3
三年之艾,24.3
水落石出,24.3
所作所为,24.3
剜肉补疮,24.3
五谷丰登,24.3
澡身浴德,24.3
自求多福,24.3
碧海青天,24.2
拨云见日,24.2
不可名状,24.2
持危扶颠,24.2
寸步不离,24.2
寸心千古,24.2
地崩山摧,24.2
冬扇夏炉,24.2
奉天承运,24.2
口是心非,24.2
旷古绝伦,24.2
鲁鱼亥豕,24.2
面目可憎,24.2
逆来顺受,24.2
如狼似虎,24.2
如坐针毡,24.2
三心二意,24.2
水底捞针,24.2
睡眼惺忪,24.2
提名道姓,24.2
条分缕析,24.2
瓮里醯鸡,24.2
一笔抹煞,24.2
饮冰茹檗,24.2
有名无实,24.2
真才实学,24.2
拜将封侯,24.1
薄物细故,24.1
沉李浮瓜,24.1
德艺双馨,24.1
兜肚连肠,24.1
多谋善断,24.1
扶摇直上,24.1
浮皮潦草,24.1
积草屯粮,24.1
机杼一家,24.1
可想而知,24.1
空穴来风,24.1
令人神往,24.1
妻儿老小,24.1
人间地狱,24.1
鼠窜狼奔,24.1
贪生怕死,24.1
偷天换日,24.1
梧鼠技穷,24.1
五内俱崩,24.1
遥相呼应,24.1
一病不起,24.1
饮食男女,24.1
又弱一个,24.1
郑人买履,24.1
熬心费力,24.0
不安其室,24.0
仓皇出逃,24.0
穿窬之盗,24.0
道大莫容,24.0
刁钻刻薄,24.0
放纵驰荡,24.0
寒耕热耘,24.0
红白喜事,24.0
宽打窄用,24.0
廉明公正,24.0
临阵磨枪,24.0
流芳百世,24.0
芒寒色正,24.0
欺世盗名,24.0
弃之可惜,24.0
如影随形,24.0
十面埋伏,24.0
缩头缩脑,24.0
心口如一,24.0
心术不正,24.0
一清二白,24.0
补阙拾遗,23.9
嘲风咏月,23.9
垂帘听政,23.9
啜食吐哺,23.9
废寝忘食,23.9
奉公不阿,23.9
攻城野战,23.9
海立云垂,23.9
魂亡魄失,23.9
涓埃之力,23.9
累屋重架,23.9
卖儿鬻女,23.9
轻于鸿毛,23.9
穰穰满家,23.9
时乖命蹇,23.9
弹指之间,23.9
习非成是,23.9
笑容可掬,23.9
饔飧不继,23.9
云中白鹤,23.9
装傻充愣,23.9
巴头探脑,23.8
比肩而立,23.8
变幻无常,23.8
不文不武,23.8
倡条冶叶,23.8
吹角连营,23.8
斗粟尺布,23.8
光明正大,23.8
憨状可掬,23.8
何其毒也,23.8
灰心丧气,23.8
鸡胸龟背,23.8
拣精择肥,23.8
老天拔地,23.8
厉世摩钝,23.8
两脚书橱,23.8
