成语,常用度分数
与世沉浮,86.7
忠心耿耿,86.7
姹紫嫣红,86.6
触目惊心,86.6
方寸万重,86.6
华屋秋墟,86.6
茧丝牛毛,86.6
降尊临卑,86.6
冷言冷语,86.6
卿卿我我,86.6
豕交兽畜,86.6
始作俑者,86.6
洋为中用,86.6
至大至刚,86.6
中原逐鹿,86.6
超然自得,86.5
风起水涌,86.5
酒酣耳热,86.5
漏泄春光,86.5
倩人捉刀,86.5
吴头楚尾,86.5
野草闲花,86.5
一树百获,86.5
余勇可贾,86.5
不甘示弱,86.4
曾几何时,86.4
疾如雷电,86.4
眷眷之心,86.4
明眸皓齿,86.4
泣下沾襟,86.4
史不绝书,86.4
不值一顾,86.3
丹楹刻桷,86.3
封妻荫子,86.3
瓜瓞绵绵,86.3
豪放不羁,86.3
节外生枝,86.3
凝脂点漆,86.3
死灰复燃,86.3
虽死犹生,86.3
随声附和,86.3
心乱如麻,86.3
沧海一粟,86.2
程门立雪,86.2
春暖花开,86.2
堆积如山,86.2
风中秉烛,86.2
改弦更张,86.2
龟毛兔角,86.2
计深虑远,86.2
狂妄自大,86.2
卵石不敌,86.2
强弓劲弩,86.2
三老五更,86.2
唯唯连声,86.2
朱干玉戚,86.2
发策决科,86.1
立此存照,86.1
鸾飞凤舞,86.1
双宿双飞,86.1
不劳而获,86.0
淮南鸡犬,86.0
祸从天降,86.0
浸润之谮,86.0
青梅竹马,86.0
穷理尽性,86.0
琼厨金穴,86.0
弱水之隔,86.0
事预则立,86.0
天经地义,86.0
心潮澎湃,86.0
旋转乾坤,86.0
移花接木,86.0
英姿飒爽,86.0
不避斧钺,85.9
不知深浅,85.9
丑声远播,85.9
风流韵事,85.9
逢人说项,85.9
计上心来,85.9
绝处逢生,85.9
匹马单枪,85.9
削木为吏,85.9
异名同实,85.9
有的放矢,85.9
鱼龙混杂,85.9
珠箔银屏,85.9
不郎不秀,85.8
长绳系日,85.8
寸步不让,85.8
咄咄怪事,85.8
耳闻目击,85.8
反目成仇,85.8
飞来横祸,85.8
感慨万端,85.8
魂不附体,85.8
刻木为吏,85.8
强颜欢笑,85.8
识文断字,85.8
添兵减灶,85.8
投机取巧,85.8
闻一知二,85.8
云程发轫,85.8
熬姜呷醋,85.7
残编断简,85.7
藏弓烹狗,85.7
彻头彻尾,85.7
抵瑕蹈隙,85.7
冬裘夏葛,85.7
杜绝后患,85.7
广结良缘,85.7
蒹葭伊人,85.7
路人皆知,85.7
问舍求田,85.7
原原本本,85.7
坐观成败,85.7
出谷迁乔,85.6
反复无常,85.6
公才公望,85.6
计穷力屈,85.6
恪守成宪,85.6
同仇敌忾,85.6
言外之意,85.6
夜深人静,85.6
芝焚蕙叹,85.6
盎盂相击,85.5
兵不厌诈,85.5
持衡拥璇,85.5
垂死挣扎,85.5
带金佩紫,85.5
荆榛满目,85.5
誓死不二,85.5
一日万里,85.5
